iter	R2	RMSE
405	0.9338259681	0.205894744
406	0.933861813	0.2058389724
407	0.933910026	0.205763933
408	0.9339430641	0.2057124963
409	0.9339850432	0.205647121
410	0.9340029818	0.2056191783
411	0.9340559978	0.2055365738
412	0.9341040898	0.2054616127
413	0.9341339109	0.2054151167
414	0.9341676273	0.2053625347
415	0.9342205074	0.205280039
416	0.934251118	0.2052322697
417	0.9342816922	0.2051845462
418	0.9343718441	0.2050437626
419	0.9344020807	0.2049965226
420	0.9344597316	0.204906422
421	0.9344841269	0.2048682835
422	0.934513628	0.2048221532
423	0.9345542998	0.2047585387
424	0.9345792214	0.2047195491
425	0.9346095815	0.204672041
426	0.9346294539	0.2046409384
427	0.9346551897	0.2046006518
428	0.9346906719	0.2045450951
429	0.9347434197	0.204462477
430	0.9348304564	0.2043260794
431	0.9348538069	0.2042894707
432	0.9348736446	0.2042583641
433	0.9348929427	0.2042280992
434	0.9349225668	0.2041816314
435	0.9349408607	0.2041529306
436	0.9349573714	0.2041270242
437	0.9350043364	0.2040533143
438	0.9350284881	0.2040153988
439	0.9350666403	0.2039554896
440	0.935084371	0.2039276417
441	0.9351073033	0.2038916184
442	0.9351433652	0.2038349577
443	0.9352201198	0.2037143077
444	0.9352544888	0.2036602601
445	0.9352703953	0.2036352413
446	0.935291011	0.2036028107
447	0.9353087467	0.2035749068
448	0.9353326618	0.2035372745
449	0.9353651453	0.2034861479
450	0.9353864132	0.2034526669
451	0.9354242323	0.2033931165
452	0.9354538892	0.2033464064
453	0.9354733978	0.203315674
454	0.9355084974	0.2032603692
455	0.9355498115	0.203195253
456	0.9355660769	0.203169611
457	0.9355944806	0.2031248257
458	0.9356108411	0.2030990247
459	0.9356281068	0.2030717928
460	0.9356529608	0.203032586
461	0.9357181153	0.2029297699
462	0.935738784	0.202897143
463	0.9357734547	0.2028424013
464	0.9358285192	0.2027554294
465	0.9358506424	0.2027204762
466	0.9358883211	0.2026609326
467	0.9359158729	0.2026173816
468	0.9359343467	0.2025881747
469	0.9359572015	0.2025520359
470	0.9359826701	0.2025117564
471	0.9360022464	0.2024807902
472	0.9360263789	0.2024426105
473	0.9360413029	0.2024189959
474	0.9361047449	0.2023185792
475	0.9361360399	0.2022690266
476	0.9361533902	0.2022415489
477	0.9361834849	0.202193879
478	0.9362064989	0.2021574174
479	0.9362219114	0.2021329953
480	0.9362541821	0.2020818508
481	0.9362700665	0.2020566716
482	0.9363050238	0.2020012477
483	0.9363337442	0.2019557008
484	0.93635634	0.2019198596
485	0.936365474	0.2019053695
486	0.936405768	0.2018414352
487	0.9364332682	0.2017977891
488	0.9364839143	0.201717383
489	0.9365158435	0.2016666755
490	0.936539738	0.2016287196
491	0.9365470299	0.2016171354
492	0.9365713166	0.2015785469
493	0.9365978623	0.2015363609
494	0.9366227033	0.2014968761
495	0.9366481602	0.2014564042
496	0.9366603935	0.2014369525
497	0.9366762925	0.2014116694
498	0.9367069858	0.2013628509
499	0.9367211952	0.2013402465
500	0.9367553386	0.2012859204
501	0.9367631339	0.2012735151
502	0.9367811475	0.2012448458
503	0.9368117832	0.2011960786
504	0.9368393743	0.2011521477
505	0.9368619068	0.2011162641
506	0.9368748607	0.2010956317
507	0.936918782	0.2010256602
508	0.9369262841	0.2010137062
509	0.936943342	0.2009865229
510	0.9369688263	0.2009459045
511	0.9370108648	0.200878883
512	0.9370275417	0.2008522891
513	0.9370553562	0.2008079268
514	0.9370760017	0.200774992
515	0.9371063586	0.2007265555
516	0.9371247348	0.2006972294
517	0.9371522949	0.2006532387
518	0.9371787196	0.2006110513
519	0.9372028193	0.2005725682
520	0.9372314063	0.2005269098
521	0.9372474192	0.20050133
522	0.9372799127	0.2004494132
523	0.9372962082	0.2004233717
524	0.937305469	0.2004085709
525	0.937332286	0.2003657048
526	0.9373545069	0.2003301785
527	0.9373649038	0.200313554
528	0.9374109292	0.2002399436
529	0.9374192399	0.2002266489
530	0.9374373244	0.2001977163
531	0.9374747834	0.2001377737
532	0.9374961758	0.2001035332
533	0.9375302797	0.2000489345
534	0.9375525309	0.2000133036
535	0.9375884445	0.1999557813
536	0.937633326	0.1998838722
537	0.9376496439	0.1998577212
538	0.9376689904	0.1998267121
539	0.9377047053	0.1997694548
540	0.9377281975	0.1997317836
541	0.9377387518	0.199714857
542	0.9377581356	0.1996837658
543	0.937790715	0.1996314986
544	0.937813084	0.199595604
545	0.9378382905	0.1995551485
546	0.9378837059	0.1994822374
547	0.9379228438	0.1994193832
548	0.937954326	0.1993688094
549	0.937973878	0.1993373942
550	0.9380021685	0.1992919294
551	0.9380317325	0.1992444071
552	0.9380569695	0.1992038311
553	0.9380786543	0.1991689597
554	0.9380967402	0.1991398712
555	0.9381259467	0.1990928876
556	0.9381428876	0.1990656303
557	0.938154271	0.1990473127
558	0.9381845871	0.1989985214
559	0.9382020697	0.198970379
560	0.9382401022	0.198909143
561	0.9382531525	0.1988881265
562	0.9382707214	0.1988598296
563	0.9382807732	0.1988436381
564	0.9383120989	0.1987931699
565	0.9383481358	0.1987350958
566	0.9383786077	0.1986859767
567	0.9383862433	0.1986736665
568	0.9384158022	0.1986260044
569	0.9384462548	0.1985768893
570	0.9384651218	0.1985464538
571	0.9384819206	0.1985193507
572	0.938496414	0.1984959643
573	0.9385117762	0.1984711727
574	0.9385540107	0.1984029991
575	0.9385897821	0.1983452394
576	0.9386012239	0.198326761
577	0.9386185756	0.1982987348
578	0.9386516799	0.1982452541
579	0.9386807838	0.1981982244
580	0.9387011296	0.1981653405
581	0.9387344502	0.1981114743
582	0.9387532127	0.1980811362
583	0.9387593922	0.1980711432
584	0.9387774191	0.1980419888
585	0.9387978416	0.1980089548
586	0.9388122584	0.197985632
587	0.938838258	0.1979435639
588	0.9388525221	0.1979204804
589	0.9388691511	0.1978935664
590	0.9388861642	0.197866027
591	0.9389029003	0.1978389322
592	0.9389157378	0.1978181466
593	0.9389457082	0.1977696119
594	0.9389571824	0.1977510271
595	0.9389814539	0.1977117089
596	0.9389927333	0.1976934343
597	0.9390241451	0.197642533
598	0.9390577062	0.1975881342
599	0.9390697789	0.197568562
600	0.9390789658	0.1975536671
601	0.9391014618	0.197517189
602	0.9391219958	0.1974838863
603	0.9391318557	0.1974678933
604	0.9391517104	0.1974356844
605	0.9391758553	0.1973965089
606	0.9391936468	0.1973676367
607	0.9392141624	0.1973343388
608	0.9392179267	0.1973282285
609	0.939228502	0.1973110614
610	0.9392353559	0.1972999346
611	0.9392482055	0.1972790725
612	0.9392741551	0.1972369349
613	0.9392873472	0.19721551
614	0.9393018086	0.1971920208
615	0.9393223706	0.1971586176
616	0.9393447782	0.19712221
617	0.939351306	0.1971116025
618	0.939369995	0.19708123
619	0.9393976256	0.1970363175
620	0.9394073502	0.197020508
621	0.9394172071	0.1970044822
622	0.9394338623	0.1969774005
623	0.9394508648	0.1969497502
624	0.939453786	0.1969449993
625	0.9394565219	0.1969405495
626	0.9394670917	0.1969233577
627	0.9394699074	0.1969187776
628	0.9394967674	0.1968750819
629	0.9395228963	0.1968325659
630	0.9395457708	0.1967953381
631	0.9395546875	0.1967808244
632	0.9395625388	0.196768044
633	0.9395862328	0.1967294696
634	0.9396090956	0.1966922412
635	0.9396140593	0.1966841577
636	0.9396246815	0.1966668579
637	0.939636835	0.1966470626
638	0.9396630258	0.1966043966
639	0.9396742862	0.1965860501
640	0.9396884609	0.1965629529
641	0.9397170937	0.1965162884
642	0.9397412084	0.1964769787
643	0.9397509302	0.1964611289
644	0.9397625033	0.196442259
645	0.9397818393	0.1964107279
646	0.9397920328	0.1963941034
647	0.939797793	0.1963847085
648	0.9398050695	0.1963728398
649	0.939830238	0.1963317821
650	0.939845725	0.1963065138
651	0.9398695452	0.1962676428
652	0.9398852144	0.1962420686
653	0.9399062781	0.1962076849
654	0.9399174906	0.1961893795
655	0.9399288319	0.1961708621
656	0.9399464571	0.1961420812
657	0.9399619408	0.1961167937
658	0.939973027	0.196098686
659	0.9399862279	0.1960771223
660	0.9399876938	0.1960747276
661	0.9400087943	0.1960402544
662	0.9400205845	0.1960209893
663	0.9400392665	0.1959904592
664	0.9400499283	0.1959730336
665	0.9400650623	0.195948296
666	0.940095992	0.1958977294
667	0.940114162	0.1958680176
668	0.940126645	0.1958476024
669	0.9401375274	0.1958298032
670	0.9401583859	0.1957956827
671	0.9401715801	0.1957740966
672	0.9401912232	0.1957419553
673	0.9402212029	0.1956928905
